"Situação,""Macroprocesso"",""Tipo documental"",""id"",""Nome operador (identificação)"",""Nome operador (avaliação)"",""Unidade(s) Operador"",""AÇÃO""";;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""ISA de orientação para avaliação tributária de comércio exterior"",""8314"",""Ricardo Prado de Oliveira"",""Ricardo Prado de Oliveira"",""CONTRIB/ACT/RGN/COMERC"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""ISA de orientação para avaliação tributária de operações correntes no país"",""8578"",""Ricardo Prado de Oliveira"",""Ricardo Prado de Oliveira"",""CONTRIB/ACT/RGN/COMERC";" CONTRIB/ACT"","" """;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação de ativos não circulantes mantidos para venda"",""8627"",""Carine da Silva Leite Freze"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório da movimentação do imobilizado e intangível da holding"",""8631"",""Ronaldo Rodrigues Lourenço"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de análise da depreciação de ativos - visão resultado"",""8644"",""Carine da Silva Leite Freze"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha da movimentação do imobilizado e intangível das empresas controladas"",""8693"",""José Rivaldo Padilha"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de consolidação da movimentação de ativos imobilizados e intangíveis da holding"",""8696"",""Ricardo Rossi Carneiro"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de identificação de ativo imobilizado"",""8702"",""Leilane Alves Gontijo"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de análise de capitalização de juros"",""8725"",""Leilane Alves Gontijo"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de análise do crédito acumulado do imposto sobre circulação de mercadorias e serviços"",""8760"",""André Luis Moreira Franco"",""Sergio Bonfim Paes"",""CONTRIB/ACT";" CONTRIB/ACT/RGN/PROJ"","" """;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório da movimentação do imobilizado e intangível das empresas subsidiárias"",""8800"",""Rogério Moreira Salomão"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação de gastos pré-operacionais de ativo imobilizado"",""8809"",""Rogério Moreira Salomão"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de detalhamento de diferença de taxa de depreciação"",""8823"",""Rogério Moreira Salomão"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação fiscal de depreciação normal e acelerada de poços"",""8827"",""Suzana Maria Leal de Jesus"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de movimentação fiscal da depreciação acelerada de equipamentos"",""8855"",""Larissa Bernardo Rodrigues"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório da movimentação fiscal de juros de custo de empréstimos referente a poços"",""8862"",""Suzana Maria Leal de Jesus"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação fiscal da diferença de taxa de depreciação por revisão de vida útil e por unidade produzida x linear"",""8865"",""Suzana Maria Leal de Jesus"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação fiscal da adição da depreciação incentivada integral"",""8866"",""Larissa Bernardo Rodrigues"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação  fiscal da adição da depreciação e baixa de juros"",""8869"",""Larissa Bernardo Rodrigues"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de movimentação fiscal de perda por redução ao valor recuperável"",""8872"",""Larissa Bernardo Rodrigues"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de apuração de lucros não realizados"",""8895"",""José Rivaldo Padilha"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de apuração de lucros não realizados com a subsidiária"",""8897"",""José Rivaldo Padilha"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de análise da movimentação dos contratos de arrendamentos"",""8898"",""José Rivaldo Padilha"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""ISA de orientação sobre ressarcimento ou compensação de créditos tributários"",""8970"",""Fernanda de Oliveira Ferreira Kling"",""Fernanda de Oliveira Ferreira Kling"",""CONTRIB/ACT/CFBS/ACF"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""ISA de orientação sobre resgate do depósito de reinvestimento do imposto de renda da pessoa jurídica junto à Superintendência do Desenvolvimento da Amazônia"",""8976"",""Fernanda de Oliveira Ferreira Kling"",""Fernanda de Oliveira Ferreira Kling"",""CONTRIB/ACT/CFBS/ACF"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""ISA de orientação sobre incentivo de redução do imposto de renda da pessoa jurídica junto à Superintendência do Desenvolvimento do Nordeste"",""8978"",""Fernanda de Oliveira Ferreira Kling"",""Fernanda de Oliveira Ferreira Kling"",""CONTRIB/ACT/CFBS/ACF"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""ISA de orientação sobre incentivo de redução do imposto de renda da pessoa jurídica junto à Superintendência do Desenvolvimento da Amazônia"",""8987"",""Fernanda de Oliveira Ferreira Kling"",""Fernanda de Oliveira Ferreira Kling"",""CONTRIB/ACT/CFBS/ACF"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de levantamento dos gastos das empresas de energia"",""9006"",""Elza Mary Oliveira da Rocha"",""Elza Mary Oliveira da Rocha"",""CONTRIB/CONT/CRG/GAR"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de movimentação contábil das contas de adiantamento a fornecedores"",""9073"",""Ronaldo Rodrigues Lourenço"",""Ricardo Rossi Carneiro"",""CONTRIB/CONT/GEPAT/ICTAI"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de análise do indicador de serviço medido fora da competência"",""9089"",""Elza Mary Oliveira da Rocha"",""Elza Mary Oliveira da Rocha"",""CONTRIB/CONT/CRG/GAR"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Planilha de controle de gastos não faturados"",""9315"",""Raquel Penna Magalhaes"",""Raquel Penna Magalhaes"",""CONTRIB/GCTPAR/GSO"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Formulário de informação tributária para Form-20F"",""9559"",""Danielle de Oliveira Correa"",""Danielle de Oliveira Correa"",""CONTRIB/TPG/RFISC-DF"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de informação das contas de provisões de prêmio por performance, participação nos lucros e resultados e programas de desligamento voluntário"",""9887"",""Dario Fontoura Braz"",""Dario Fontoura Braz"",""CONTRIB/CONT/CONGER/ACFP"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de controle dos contratos de arrendamento"",""10238"",""Virgilio da Silva Barbosa"",""Daniele Barros de Freitas Carreiro"",""CONTRIB/CONT/CONGER/ACOA"","" """;;;;;;;;;;;;;;;;;;;;;;;
"ANÁLISE DE AVALIAÇÃO,""Realizar gestão contábil e tributária"",""Relatório de acompanhamento contábil de arrendamento"",""10239"",""Claudio de Castro Caon"",""Claudio de Castro Caon"",""CONTRIB/CONT/CONGER/ACOA"","" """;;;;;;;;;;;;;;;;;;;;;;;
