"Situação","Macroprocesso","Tipo documental","id","AÇÃO"
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Estudo de modelagem de fluidos de reservatório","8540"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de gestão de dados de reservatórios, elevação, escoamento e reservas","8547"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de modelagem geológica 3D de reservatórios","8558"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Estudo de simulação de escoamento de fluidos no reservatório","8564"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Formulário de registro de melhores práticas de engenharia de reservatórios","8568"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de modelo geológico","8569"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Mapa de resumo das propriedades médias geológicas","8572"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Agenda de evento de disseminação de conhecimento","8576"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Tabela de registro de tipos de zoneamento estratigráficos","8607"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Resenha de estudo de geologia de reservatório","8611"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Folha de dados de locação de poços","8632"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Curva de previsão de produção de óleo e gás","8635"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Resumo de apresentação do encontro técnico de geologia de reservatório","8638"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Lista de curso para capacitação de profissionais da geologia de reservatório","8641"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Curva de previsão de produção de óleo e gás incremental","8643"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Notificação de perfuração de poços","8647"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Prospecto de perfuração de poços","8649"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Escala de qualificação dos modelos geológicos","8655"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico de adequação do modelo geológico","8660"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de produtos do Grupo de Revisão de Reservatórios","8784"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de índice de maturidade do projeto de reservatórios e elevação e escoamento","8786"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Ata de reunião do Comitê de Reservatórios","8788"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de parecer do Comitê de Reservatórios","8791"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de avaliação de complexidade do reservatório","8876"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de informação de dados de reservatório","8881"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Registro para aprovação do Comitê de Reservatórios","8885"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de avaliação técnica para Grupo de Revisão de Reservatórios","8912"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de evento sobre modelo de reservatório","8920"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de estudo de permeabilidade relativa de reservatório","8928"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico de análise qualitativa do ajuste de histórico para estudo de reservatório","8931"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Diagrama de treinamento para capacitação em modelagem e previsão de comportamento de reservatórios","8936"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico de desinvestimento de campo","8989"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de gerenciamento integrado de reservatórios","9009"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de avaliação de alternativas de projeto de desenvolvimento","9142"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de avaliação do índice de maturidade do modelo de reservatório","9144"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Comunicação da análise econômica integrada dos ativos de produção de reservatórios","9499"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Plano de gerenciamento de reservatório","9655"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de previsão de produção de óleo e injeção de fluidos","9678"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico de monitoramento de parâmetros operacionais de poços","9925"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Balanço de produção e injeção de fluidos","9926"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Quadro de planejamento de treinamento e desenvolvimento","9973"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Formulário de preenchimento do scorecard de reservartórios","9980"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Lista de curso para empregados da área de reservatórios","9981"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Informativo de acompanhamento da curva S do Programa RES20","9985"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha da projeção de reservas","9997"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Informativo da revisão do fator de recuperação de referência dos campos que integram o programa RES 20","10000"," "
